RK,Team,Total PointsPTS,date
26,RussiaRUS,1713,3/23/2018
27,UkraineUKR,1712,3/23/2018
28,FinlandFIN,1691,3/23/2018
29,Republic of IrelandIRL,1684,3/23/2018
30,ThailandTHA,1676,3/23/2018
31,PolandPOL,1668,3/23/2018
32,Costa RicaCRC,1650,3/23/2018
33,Czech RepublicCZE,1649,3/23/2018
34,WalesWAL,1644,3/23/2018
35,VietnamVIE,1640,3/23/2018
36,PortugalPOR,1632,3/23/2018
37,ArgentinaARG,1615,3/23/2018
38,NigeriaNGA,1608,3/23/2018
39,RomaniaROU,1585,3/23/2018
40,ChileCHI,1567,3/23/2018
41,UzbekistanUZB,1557,3/23/2018
42,Chinese TaipeiTPE,1553,3/23/2018
43,MyanmarMYA,1534,3/23/2018
43,SerbiaSRB,1534,3/23/2018
45,HungaryHUN,1527,3/23/2018
46,GhanaGHA,1503,3/23/2018
47,SlovakiaSVK,1498,3/23/2018
48,Trinidad and TobagoTRI,1484,3/23/2018
48,CameroonCMR,1484,3/23/2018
50,ParaguayPAR,1465,3/23/2018
1,USAUSA,2114,12/15/2017
2,GermanyGER,2052,12/15/2017
3,EnglandENG,2033,12/15/2017
4,AustraliaAUS,2030,12/15/2017
5,CanadaCAN,2023,12/15/2017
6,FranceFRA,2019,12/15/2017
7,NetherlandsNED,1972,12/15/2017
8,BrazilBRA,1968,12/15/2017
9,JapanJPN,1967,12/15/2017
10,SwedenSWE,1955,12/15/2017
11,Korea DPRPRK,1948,12/15/2017
12,DenmarkDEN,1899,12/15/2017
13,SpainESP,1869,12/15/2017
14,NorwayNOR,1868,12/15/2017
14,Korea RepublicKOR,1868,12/15/2017
16,China PRCHN,1861,12/15/2017
17,SwitzerlandSUI,1860,12/15/2017
17,ItalyITA,1860,12/15/2017
19,New ZealandNZL,1830,12/15/2017
20,IcelandISL,1818,12/15/2017
21,AustriaAUT,1810,12/15/2017
22,BelgiumBEL,1788,12/15/2017
23,ScotlandSCO,1785,12/15/2017
24,ColombiaCOL,1756,12/15/2017
25,RussiaRUS,1730,12/15/2017
26,MexicoMEX,1724,12/15/2017
27,UkraineUKR,1712,12/15/2017
28,FinlandFIN,1708,12/15/2017
29,Republic of IrelandIRL,1682,12/15/2017
30,ThailandTHA,1668,12/15/2017
30,PolandPOL,1668,12/15/2017
32,VietnamVIE,1652,12/15/2017
33,Costa RicaCRC,1650,12/15/2017
34,Czech RepublicCZE,1642,12/15/2017
35,WalesWAL,1635,12/15/2017
36,ArgentinaARG,1615,12/15/2017
37,NigeriaNGA,1613,12/15/2017
38,PortugalPOR,1600,12/15/2017
39,RomaniaROU,1585,12/15/2017
40,ChileCHI,1566,12/15/2017
41,UzbekistanUZB,1557,12/15/2017
42,Chinese TaipeiTPE,1553,12/15/2017
43,HungaryHUN,1538,12/15/2017
44,MyanmarMYA,1534,12/15/2017
44,SerbiaSRB,1534,12/15/2017
46,GhanaGHA,1499,12/15/2017
47,SlovakiaSVK,1492,12/15/2017
48,Trinidad and TobagoTRI,1484,12/15/2017
48,CameroonCMR,1484,12/15/2017
50,JordanJOR,1460,12/15/2017
1,USAUSA,2104,9/1/2017
2,GermanyGER,2077,9/1/2017
3,EnglandENG,2037,9/1/2017
4,FranceFRA,2030,9/1/2017
5,CanadaCAN,2027,9/1/2017
6,AustraliaAUS,2019,9/1/2017
7,NetherlandsNED,1979,9/1/2017
8,JapanJPN,1964,9/1/2017
9,BrazilBRA,1955,9/1/2017
10,Korea DPRPRK,1949,9/1/2017
11,SwedenSWE,1934,9/1/2017
12,DenmarkDEN,1899,9/1/2017
13,China PRCHN,1875,9/1/2017
14,NorwayNOR,1872,9/1/2017
15,Korea RepublicKOR,1871,9/1/2017
16,SwitzerlandSUI,1862,9/1/2017
17,SpainESP,1849,9/1/2017
18,ItalyITA,1843,9/1/2017
19,New ZealandNZL,1827,9/1/2017
20,AustriaAUT,1819,9/1/2017
21,IcelandISL,1790,9/1/2017
22,ScotlandSCO,1777,9/1/2017
23,BelgiumBEL,1776,9/1/2017
24,ColombiaCOL,1756,9/1/2017
25,RussiaRUS,1748,9/1/2017
26,MexicoMEX,1733,9/1/2017
27,UkraineUKR,1718,9/1/2017
28,FinlandFIN,1704,9/1/2017
29,ThailandTHA,1673,9/1/2017
30,PolandPOL,1657,9/1/2017
31,VietnamVIE,1652,9/1/2017
32,Costa RicaCRC,1645,9/1/2017
33,Republic of IrelandIRL,1634,9/1/2017
34,PortugalPOR,1617,9/1/2017
35,NigeriaNGA,1613,9/1/2017
36,WalesWAL,1611,9/1/2017
37,Czech RepublicCZE,1610,9/1/2017
38,RomaniaROU,1596,9/1/2017
39,HungaryHUN,1577,9/1/2017
40,ChileCHI,1562,9/1/2017
41,UzbekistanUZB,1557,9/1/2017
42,Chinese TaipeiTPE,1553,9/1/2017
43,SlovakiaSVK,1549,9/1/2017
44,SerbiaSRB,1545,9/1/2017
45,MyanmarMYA,1534,9/1/2017
46,GhanaGHA,1499,9/1/2017
47,Trinidad and TobagoTRI,1484,9/1/2017
47,CameroonCMR,1484,9/1/2017
49,BelarusBLR,1456,9/1/2017
50,JordanJOR,1452,9/1/2017
1,USAUSA,2118,6/23/2017
2,GermanyGER,2111,6/23/2017
3,FranceFRA,2076,6/23/2017
4,CanadaCAN,2027,6/23/2017
5,EnglandENG,2024,6/23/2017
6,JapanJPN,1981,6/23/2017
7,AustraliaAUS,1976,6/23/2017
8,BrazilBRA,1971,6/23/2017
9,SwedenSWE,1956,6/23/2017
10,Korea DPRPRK,1949,6/23/2017
11,NorwayNOR,1924,6/23/2017
12,NetherlandsNED,1918,6/23/2017
13,SpainESP,1885,6/23/2017
14,China PRCHN,1875,6/23/2017
15,DenmarkDEN,1872,6/23/2017
16,Korea RepublicKOR,1871,6/23/2017
17,SwitzerlandSUI,1858,6/23/2017
18,ItalyITA,1841,6/23/2017
19,IcelandISL,1829,6/23/2017
20,New ZealandNZL,1827,6/23/2017
21,ScotlandSCO,1788,6/23/2017
22,ColombiaCOL,1756,6/23/2017
22,BelgiumBEL,1756,6/23/2017
24,AustriaAUT,1746,6/23/2017
25,RussiaRUS,1738,6/23/2017
26,MexicoMEX,1733,6/23/2017
27,UkraineUKR,1718,6/23/2017
28,FinlandFIN,1704,6/23/2017
29,ThailandTHA,1669,6/23/2017
30,PolandPOL,1657,6/23/2017
31,Costa RicaCRC,1645,6/23/2017
32,VietnamVIE,1644,6/23/2017
33,Republic of IrelandIRL,1635,6/23/2017
34,NigeriaNGA,1613,6/23/2017
35,WalesWAL,1612,6/23/2017
36,Czech RepublicCZE,1610,6/23/2017
37,RomaniaROU,1609,6/23/2017
38,PortugalPOR,1590,6/23/2017
39,HungaryHUN,1578,6/23/2017
40,ChileCHI,1562,6/23/2017
41,UzbekistanUZB,1557,6/23/2017
42,Chinese TaipeiTPE,1553,6/23/2017
43,SlovakiaSVK,1549,6/23/2017
44,SerbiaSRB,1535,6/23/2017
45,MyanmarMYA,1533,6/23/2017
46,GhanaGHA,1499,6/23/2017
47,Trinidad and TobagoTRI,1484,6/23/2017
47,CameroonCMR,1484,6/23/2017
49,Papua New GuineaPNG,1473,6/23/2017
50,JordanJOR,1462,6/23/2017
2,USAUSA,2105,3/24/2017
1,GermanyGER,2108,3/24/2017
3,FranceFRA,2072,3/24/2017
4,EnglandENG,2022,3/24/2017
5,CanadaCAN,2017,3/24/2017
6,SwedenSWE,1977,3/24/2017
6,JapanJPN,1977,3/24/2017
8,AustraliaAUS,1976,3/24/2017
9,BrazilBRA,1961,3/24/2017
10,Korea DPRPRK,1953,3/24/2017
11,NorwayNOR,1926,3/24/2017
12,NetherlandsNED,1923,3/24/2017
13,SpainESP,1885,3/24/2017
14,China PRCHN,1882,3/24/2017
15,DenmarkDEN,1870,3/24/2017
16,SwitzerlandSUI,1866,3/24/2017
17,Korea RepublicKOR,1850,3/24/2017
18,IcelandISL,1837,3/24/2017
19,ItalyITA,1836,3/24/2017
20,New ZealandNZL,1827,3/24/2017
21,ScotlandSCO,1793,3/24/2017
22,ColombiaCOL,1756,3/24/2017
23,BelgiumBEL,1753,3/24/2017
24,AustriaAUT,1749,3/24/2017
25,RussiaRUS,1736,3/24/2017
26,MexicoMEX,1733,3/24/2017
27,UkraineUKR,1726,3/24/2017
28,FinlandFIN,1712,3/24/2017
29,ThailandTHA,1652,3/24/2017
30,Costa RicaCRC,1646,3/24/2017
31,PolandPOL,1638,3/24/2017
32,Republic of IrelandIRL,1632,3/24/2017
33,VietnamVIE,1630,3/24/2017
34,NigeriaNGA,1613,3/24/2017
35,WalesWAL,1611,3/24/2017
36,RomaniaROU,1610,3/24/2017
36,Czech RepublicCZE,1610,3/24/2017
38,PortugalPOR,1590,3/24/2017
39,HungaryHUN,1581,3/24/2017
40,Chinese TaipeiTPE,1559,3/24/2017
41,SlovakiaSVK,1558,3/24/2017
42,UzbekistanUZB,1548,3/24/2017
43,SerbiaSRB,1538,3/24/2017
44,MyanmarMYA,1524,3/24/2017
45,GhanaGHA,1499,3/24/2017
46,Trinidad and TobagoTRI,1494,3/24/2017
47,CameroonCMR,1484,3/24/2017
48,Papua New GuineaPNG,1473,3/24/2017
49,BelarusBLR,1463,3/24/2017
50,Equatorial GuineaEQG,1446,3/24/2017
1,USAUSA,2140,12/23/2016
2,GermanyGER,2109,12/23/2016
3,FranceFRA,2041,12/23/2016
4,CanadaCAN,2031,12/23/2016
5,EnglandENG,2030,12/23/2016
6,AustraliaAUS,1984,12/23/2016
7,JapanJPN,1982,12/23/2016
8,SwedenSWE,1977,12/23/2016
9,BrazilBRA,1961,12/23/2016
10,Korea DPRPRK,1952,12/23/2016
11,NorwayNOR,1927,12/23/2016
12,NetherlandsNED,1903,12/23/2016
13,China PRCHN,1892,12/23/2016
14,SpainESP,1862,12/23/2016
15,DenmarkDEN,1861,12/23/2016
16,ItalyITA,1854,12/23/2016
17,SwitzerlandSUI,1848,12/23/2016
18,Korea RepublicKOR,1847,12/23/2016
19,New ZealandNZL,1846,12/23/2016
20,IcelandISL,1831,12/23/2016
21,ScotlandSCO,1788,12/23/2016
22,ColombiaCOL,1756,12/23/2016
23,RussiaRUS,1750,12/23/2016
24,AustriaAUT,1745,12/23/2016
25,BelgiumBEL,1743,12/23/2016
26,MexicoMEX,1732,12/23/2016
26,UkraineUKR,1732,12/23/2016
28,FinlandFIN,1708,12/23/2016
29,Costa RicaCRC,1646,12/23/2016
30,ThailandTHA,1642,12/23/2016
31,PolandPOL,1636,12/23/2016
32,VietnamVIE,1630,12/23/2016
33,Czech RepublicCZE,1626,12/23/2016
34,Republic of IrelandIRL,1623,12/23/2016
35,NigeriaNGA,1613,12/23/2016
36,WalesWAL,1609,12/23/2016
37,RomaniaROU,1606,12/23/2016
38,PortugalPOR,1595,12/23/2016
39,Chinese TaipeiTPE,1586,12/23/2016
40,HungaryHUN,1582,12/23/2016
41,SlovakiaSVK,1560,12/23/2016
42,UzbekistanUZB,1540,12/23/2016
43,SerbiaSRB,1531,12/23/2016
43,MyanmarMYA,1531,12/23/2016
45,GhanaGHA,1499,12/23/2016
46,Trinidad and TobagoTRI,1494,12/23/2016
47,CameroonCMR,1484,12/23/2016
48,Papua New GuineaPNG,1473,12/23/2016
49,BelarusBLR,1463,12/23/2016
50,Equatorial GuineaEQG,1446,12/23/2016
1,USAUSA,2137,8/26/2016
2,GermanyGER,2112,8/26/2016
3,FranceFRA,2046,8/26/2016
4,CanadaCAN,2031,8/26/2016
5,EnglandENG,2021,8/26/2016
6,SwedenSWE,1995,8/26/2016
7,AustraliaAUS,1984,8/26/2016
8,JapanJPN,1982,8/26/2016
9,Korea DPRPRK,1952,8/26/2016
10,BrazilBRA,1946,8/26/2016
11,NorwayNOR,1923,8/26/2016
12,NetherlandsNED,1902,8/26/2016
13,China PRCHN,1892,8/26/2016
14,SpainESP,1861,8/26/2016
15,SwitzerlandSUI,1850,8/26/2016
16,IcelandISL,1849,8/26/2016
17,ItalyITA,1847,8/26/2016
18,New ZealandNZL,1846,8/26/2016
19,Korea RepublicKOR,1843,8/26/2016
20,DenmarkDEN,1838,8/26/2016
21,ScotlandSCO,1778,8/26/2016
22,RussiaRUS,1762,8/26/2016
23,UkraineUKR,1757,8/26/2016
24,ColombiaCOL,1756,8/26/2016
25,AustriaAUT,1747,8/26/2016
26,BelgiumBEL,1737,8/26/2016
27,MexicoMEX,1732,8/26/2016
28,FinlandFIN,1726,8/26/2016
29,Costa RicaCRC,1658,8/26/2016
30,Republic of IrelandIRL,1640,8/26/2016
31,PolandPOL,1636,8/26/2016
32,ThailandTHA,1634,8/26/2016
33,Czech RepublicCZE,1632,8/26/2016
34,VietnamVIE,1630,8/26/2016
35,WalesWAL,1605,8/26/2016
36,RomaniaROU,1593,8/26/2016
37,NigeriaNGA,1592,8/26/2016
38,Chinese TaipeiTPE,1590,8/26/2016
39,HungaryHUN,1566,8/26/2016
40,PortugalPOR,1565,8/26/2016
41,SlovakiaSVK,1541,8/26/2016
42,UzbekistanUZB,1540,8/26/2016
43,MyanmarMYA,1531,8/26/2016
44,SerbiaSRB,1529,8/26/2016
45,Trinidad and TobagoTRI,1494,8/26/2016
46,GhanaGHA,1487,8/26/2016
47,CameroonCMR,1484,8/26/2016
48,South AfricaRSA,1478,8/26/2016
49,Papua New GuineaPNG,1473,8/26/2016
50,BelarusBLR,1456,8/26/2016
1,USAUSA,2168,6/24/2016
2,GermanyGER,2115,6/24/2016
3,FranceFRA,2064,6/24/2016
4,EnglandENG,2021,6/24/2016
5,AustraliaAUS,2011,6/24/2016
6,SwedenSWE,2002,6/24/2016
7,JapanJPN,1991,6/24/2016
8,BrazilBRA,1982,6/24/2016
9,Korea DPRPRK,1952,6/24/2016
10,CanadaCAN,1938,6/24/2016
11,NorwayNOR,1923,6/24/2016
12,China PRCHN,1914,6/24/2016
13,NetherlandsNED,1902,6/24/2016
14,SpainESP,1861,6/24/2016
15,SwitzerlandSUI,1850,6/24/2016
16,IcelandISL,1849,6/24/2016
17,New ZealandNZL,1848,6/24/2016
18,ItalyITA,1847,6/24/2016
19,Korea RepublicKOR,1843,6/24/2016
20,DenmarkDEN,1838,6/24/2016
21,ScotlandSCO,1778,6/24/2016
22,RussiaRUS,1762,6/24/2016
23,UkraineUKR,1756,6/24/2016
24,ColombiaCOL,1748,6/24/2016
25,AustriaAUT,1747,6/24/2016
26,BelgiumBEL,1737,6/24/2016
27,MexicoMEX,1732,6/24/2016
28,FinlandFIN,1726,6/24/2016
29,Costa RicaCRC,1658,6/24/2016
30,ThailandTHA,1643,6/24/2016
31,Republic of IrelandIRL,1639,6/24/2016
32,Czech RepublicCZE,1638,6/24/2016
33,PolandPOL,1636,6/24/2016
34,VietnamVIE,1620,6/24/2016
35,WalesWAL,1607,6/24/2016
36,RomaniaROU,1593,6/24/2016
37,NigeriaNGA,1592,6/24/2016
38,Chinese TaipeiTPE,1590,6/24/2016
39,HungaryHUN,1566,6/24/2016
40,PortugalPOR,1565,6/24/2016
41,SlovakiaSVK,1541,6/24/2016
42,UzbekistanUZB,1540,6/24/2016
43,SerbiaSRB,1529,6/24/2016
44,MyanmarMYA,1527,6/24/2016
45,Trinidad and TobagoTRI,1494,6/24/2016
46,GhanaGHA,1487,6/24/2016
47,CameroonCMR,1484,6/24/2016
48,Papua New GuineaPNG,1473,6/24/2016
49,BelarusBLR,1456,6/24/2016
50,EcuadorECU,1451,6/24/2016
1,USAUSA,2174,3/25/2016
2,GermanyGER,2117,3/25/2016
3,FranceFRA,2068,3/25/2016
4,EnglandENG,2033,3/25/2016
5,AustraliaAUS,2014,3/25/2016
6,SwedenSWE,1995,3/25/2016
7,JapanJPN,1983,3/25/2016
8,BrazilBRA,1975,3/25/2016
9,Korea DPRPRK,1952,3/25/2016
10,CanadaCAN,1938,3/25/2016
11,NorwayNOR,1923,3/25/2016
12,China PRCHN,1918,3/25/2016
13,NetherlandsNED,1906,3/25/2016
14,ItalyITA,1855,3/25/2016
15,SpainESP,1852,3/25/2016
16,New ZealandNZL,1848,3/25/2016
17,Korea RepublicKOR,1837,3/25/2016
18,DenmarkDEN,1836,3/25/2016
19,SwitzerlandSUI,1833,3/25/2016
20,IcelandISL,1828,3/25/2016
21,ScotlandSCO,1793,3/25/2016
22,RussiaRUS,1767,3/25/2016
23,UkraineUKR,1760,3/25/2016
24,ColombiaCOL,1747,3/25/2016
25,AustriaAUT,1741,3/25/2016
26,MexicoMEX,1732,3/25/2016
27,FinlandFIN,1728,3/25/2016
28,BelgiumBEL,1721,3/25/2016
29,PolandPOL,1654,3/25/2016
30,Costa RicaCRC,1651,3/25/2016
31,Czech RepublicCZE,1647,3/25/2016
32,ThailandTHA,1645,3/25/2016
33,Republic of IrelandIRL,1643,3/25/2016
34,ArgentinaARG,1621,3/25/2016
35,VietnamVIE,1620,3/25/2016
36,WalesWAL,1604,3/25/2016
37,NigeriaNGA,1602,3/25/2016
38,Chinese TaipeiTPE,1590,3/25/2016
39,RomaniaROU,1585,3/25/2016
40,HungaryHUN,1569,3/25/2016
41,PortugalPOR,1556,3/25/2016
42,UzbekistanUZB,1540,3/25/2016
43,SlovakiaSVK,1534,3/25/2016
44,MyanmarMYA,1533,3/25/2016
45,SerbiaSRB,1532,3/25/2016
46,CameroonCMR,1496,3/25/2016
47,Trinidad and TobagoTRI,1494,3/25/2016
48,GhanaGHA,1475,3/25/2016
49,Papua New GuineaPNG,1473,3/25/2016
50,BelarusBLR,1463,3/25/2016
1,USAUSA,2180,12/18/2015
2,GermanyGER,2104,12/18/2015
3,FranceFRA,2078,12/18/2015
4,JapanJPN,2045,12/18/2015
5,EnglandENG,2041,12/18/2015
6,Korea DPRPRK,1993,12/18/2015
7,BrazilBRA,1977,12/18/2015
8,SwedenSWE,1973,12/18/2015
9,AustraliaAUS,1964,12/18/2015
10,NorwayNOR,1935,12/18/2015
11,CanadaCAN,1928,12/18/2015
12,NetherlandsNED,1925,12/18/2015
13,ItalyITA,1859,12/18/2015
14,SpainESP,1854,12/18/2015
15,DenmarkDEN,1849,12/18/2015
16,New ZealandNZL,1846,12/18/2015
17,China PRCHN,1844,12/18/2015
18,Korea RepublicKOR,1833,12/18/2015
19,IcelandISL,1821,12/18/2015
20,SwitzerlandSUI,1816,12/18/2015
21,ScotlandSCO,1796,12/18/2015
22,RussiaRUS,1774,12/18/2015
23,UkraineUKR,1758,12/18/2015
24,FinlandFIN,1755,12/18/2015
25,ColombiaCOL,1747,12/18/2015
26,MexicoMEX,1731,12/18/2015
27,AustriaAUT,1730,12/18/2015
28,BelgiumBEL,1709,12/18/2015
29,VietnamVIE,1650,12/18/2015
30,ThailandTHA,1645,12/18/2015
31,PolandPOL,1643,12/18/2015
32,Republic of IrelandIRL,1642,12/18/2015
33,Czech RepublicCZE,1641,12/18/2015
34,Costa RicaCRC,1630,12/18/2015
35,ArgentinaARG,1621,12/18/2015
36,WalesWAL,1611,12/18/2015
37,NigeriaNGA,1602,12/18/2015
38,Chinese TaipeiTPE,1590,12/18/2015
39,RomaniaROU,1584,12/18/2015
40,PortugalPOR,1565,12/18/2015
41,ChileCHI,1559,12/18/2015
42,HungaryHUN,1558,12/18/2015
43,UzbekistanUZB,1540,12/18/2015
44,MyanmarMYA,1533,12/18/2015
45,SerbiaSRB,1532,12/18/2015
46,SlovakiaSVK,1525,12/18/2015
47,CameroonCMR,1496,12/18/2015
48,Trinidad and TobagoTRI,1485,12/18/2015
49,Papua New GuineaPNG,1480,12/18/2015
50,GhanaGHA,1475,12/18/2015
1,USAUSA,2189,9/25/2015
2,GermanyGER,2115,9/25/2015
3,FranceFRA,2083,9/25/2015
4,JapanJPN,2052,9/25/2015
5,EnglandENG,2038,9/25/2015
6,Korea DPRPRK,1993,9/25/2015
7,BrazilBRA,1973,9/25/2015
8,SwedenSWE,1970,9/25/2015
9,AustraliaAUS,1968,9/25/2015
10,NorwayNOR,1933,9/25/2015
11,CanadaCAN,1924,9/25/2015
12,NetherlandsNED,1908,9/25/2015
13,ItalyITA,1874,9/25/2015
14,DenmarkDEN,1856,9/25/2015
15,China PRCHN,1840,9/25/2015
16,New ZealandNZL,1839,9/25/2015
17,Korea RepublicKOR,1838,9/25/2015
18,SpainESP,1824,9/25/2015
19,IcelandISL,1818,9/25/2015
20,ScotlandSCO,1791,9/25/2015
21,SwitzerlandSUI,1781,9/25/2015
22,RussiaRUS,1779,9/25/2015
23,UkraineUKR,1770,9/25/2015
24,FinlandFIN,1754,9/25/2015
25,ColombiaCOL,1747,9/25/2015
26,MexicoMEX,1736,9/25/2015
27,AustriaAUT,1722,9/25/2015
28,BelgiumBEL,1712,9/25/2015
29,ThailandTHA,1666,9/25/2015
30,Czech RepublicCZE,1654,9/25/2015
31,Republic of IrelandIRL,1653,9/25/2015
32,PolandPOL,1639,9/25/2015
33,VietnamVIE,1629,9/25/2015
34,Costa RicaCRC,1627,9/25/2015
35,ArgentinaARG,1621,9/25/2015
36,WalesWAL,1620,9/25/2015
37,Chinese TaipeiTPE,1608,9/25/2015
38,NigeriaNGA,1602,9/25/2015
39,PortugalPOR,1580,9/25/2015
40,HungaryHUN,1565,9/25/2015
41,RomaniaROU,1562,9/25/2015
42,ChileCHI,1559,9/25/2015
43,UzbekistanUZB,1540,9/25/2015
43,SerbiaSRB,1540,9/25/2015
45,CameroonCMR,1530,9/25/2015
46,SlovakiaSVK,1525,9/25/2015
47,MyanmarMYA,1515,9/25/2015
48,Trinidad and TobagoTRI,1489,9/25/2015
49,Papua New GuineaPNG,1480,9/25/2015
50,Equatorial GuineaEQG,1477,9/25/2015
1,USAUSA,2189,7/10/2015
2,GermanyGER,2115,7/10/2015
3,FranceFRA,2081,7/10/2015
4,JapanJPN,2073,7/10/2015
5,EnglandENG,2038,7/10/2015
6,BrazilBRA,1975,7/10/2015
7,SwedenSWE,1971,7/10/2015
8,Korea DPRPRK,1969,7/10/2015
9,AustraliaAUS,1968,7/10/2015
10,NorwayNOR,1927,7/10/2015
11,CanadaCAN,1924,7/10/2015
12,NetherlandsNED,1907,7/10/2015
13,ItalyITA,1875,7/10/2015
14,China PRCHN,1866,7/10/2015
15,DenmarkDEN,1853,7/10/2015
16,New ZealandNZL,1839,7/10/2015
17,Korea RepublicKOR,1824,7/10/2015
18,IcelandISL,1817,7/10/2015
19,SpainESP,1815,7/10/2015
20,ScotlandSCO,1797,7/10/2015
21,SwitzerlandSUI,1781,7/10/2015
22,RussiaRUS,1779,7/10/2015
23,UkraineUKR,1772,7/10/2015
24,FinlandFIN,1758,7/10/2015
25,ColombiaCOL,1747,7/10/2015
26,MexicoMEX,1736,7/10/2015
27,AustriaAUT,1719,7/10/2015
28,BelgiumBEL,1708,7/10/2015
29,NigeriaNGA,1659,7/10/2015
30,ThailandTHA,1654,7/10/2015
30,Czech RepublicCZE,1654,7/10/2015
30,PolandPOL,1654,7/10/2015
33,Republic of IrelandIRL,1653,7/10/2015
34,Costa RicaCRC,1627,7/10/2015
35,VietnamVIE,1626,7/10/2015
36,ArgentinaARG,1621,7/10/2015
37,WalesWAL,1620,7/10/2015
38,PortugalPOR,1578,7/10/2015
39,Chinese TaipeiTPE,1574,7/10/2015
40,HungaryHUN,1566,7/10/2015
41,RomaniaROU,1564,7/10/2015
42,ChileCHI,1559,7/10/2015
43,CameroonCMR,1542,7/10/2015
43,MyanmarMYA,1542,7/10/2015
45,UzbekistanUZB,1540,7/10/2015
46,SerbiaSRB,1533,7/10/2015
47,SlovakiaSVK,1509,7/10/2015
48,Trinidad and TobagoTRI,1489,7/10/2015
49,BelarusBLR,1475,7/10/2015
50,Papua New GuineaPNG,1472,7/10/2015
2,USAUSA,2158,3/27/2015
1,GermanyGER,2168,3/27/2015
3,FranceFRA,2103,3/27/2015
4,JapanJPN,2066,3/27/2015
5,SwedenSWE,2008,3/27/2015
6,EnglandENG,2001,3/27/2015
7,BrazilBRA,1984,3/27/2015
8,Korea DPRPRK,1969,3/27/2015
8,CanadaCAN,1969,3/27/2015
10,AustraliaAUS,1968,3/27/2015
11,NorwayNOR,1933,3/27/2015
12,NetherlandsNED,1919,3/27/2015
13,ItalyITA,1875,3/27/2015
14,SpainESP,1867,3/27/2015
15,DenmarkDEN,1848,3/27/2015
16,China PRCHN,1847,3/27/2015
17,New ZealandNZL,1832,3/27/2015
18,Korea RepublicKOR,1830,3/27/2015
19,SwitzerlandSUI,1813,3/27/2015
20,IcelandISL,1812,3/27/2015
21,ScotlandSCO,1795,3/27/2015
22,RussiaRUS,1783,3/27/2015
23,UkraineUKR,1772,3/27/2015
24,FinlandFIN,1770,3/27/2015
25,MexicoMEX,1748,3/27/2015
26,AustriaAUT,1711,3/27/2015
27,BelgiumBEL,1700,3/27/2015
28,ColombiaCOL,1692,3/27/2015
29,Czech RepublicCZE,1654,3/27/2015
29,ThailandTHA,1654,3/27/2015
31,Republic of IrelandIRL,1653,3/27/2015
32,PolandPOL,1644,3/27/2015
33,NigeriaNGA,1633,3/27/2015
34,VietnamVIE,1630,3/27/2015
35,WalesWAL,1629,3/27/2015
36,ArgentinaARG,1621,3/27/2015
37,Costa RicaCRC,1589,3/27/2015
38,PortugalPOR,1578,3/27/2015
39,Chinese TaipeiTPE,1572,3/27/2015
40,RomaniaROU,1566,3/27/2015
40,HungaryHUN,1566,3/27/2015
42,ChileCHI,1559,3/27/2015
43,MyanmarMYA,1541,3/27/2015
44,UzbekistanUZB,1540,3/27/2015
45,SerbiaSRB,1531,3/27/2015
46,SlovakiaSVK,1500,3/27/2015
47,Trinidad and TobagoTRI,1489,3/27/2015
48,EcuadorECU,1485,3/27/2015
49,BelarusBLR,1475,3/27/2015
50,Papua New GuineaPNG,1472,3/27/2015
2,USAUSA,2158,12/19/2014
1,GermanyGER,2176,12/19/2014
3,FranceFRA,2091,12/19/2014
4,JapanJPN,2084,12/19/2014
5,SwedenSWE,2000,12/19/2014
6,EnglandENG,1984,12/19/2014
7,Korea DPRPRK,1981,12/19/2014
8,BrazilBRA,1968,12/19/2014
9,CanadaCAN,1962,12/19/2014
10,AustraliaAUS,1957,12/19/2014
11,NetherlandsNED,1933,12/19/2014
12,NorwayNOR,1928,12/19/2014
13,China PRCHN,1880,12/19/2014
14,ItalyITA,1879,12/19/2014
15,SpainESP,1875,12/19/2014
16,DenmarkDEN,1855,12/19/2014
17,Korea RepublicKOR,1836,12/19/2014
18,New ZealandNZL,1827,12/19/2014
19,SwitzerlandSUI,1826,12/19/2014
20,IcelandISL,1818,12/19/2014
21,RussiaRUS,1783,12/19/2014
21,ScotlandSCO,1783,12/19/2014
23,FinlandFIN,1778,12/19/2014
24,UkraineUKR,1772,12/19/2014
25,MexicoMEX,1737,12/19/2014
26,BelgiumBEL,1710,12/19/2014
27,AustriaAUT,1702,12/19/2014
28,ColombiaCOL,1691,12/19/2014
29,Republic of IrelandIRL,1666,12/19/2014
30,Czech RepublicCZE,1657,12/19/2014
31,ThailandTHA,1651,12/19/2014
32,NigeriaNGA,1639,12/19/2014
33,WalesWAL,1631,12/19/2014
34,VietnamVIE,1630,12/19/2014
35,PolandPOL,1629,12/19/2014
36,ArgentinaARG,1617,12/19/2014
37,Costa RicaCRC,1597,12/19/2014
38,RomaniaROU,1578,12/19/2014
39,HungaryHUN,1576,12/19/2014
40,Chinese TaipeiTPE,1569,12/19/2014
41,ChileCHI,1559,12/19/2014
42,PortugalPOR,1551,12/19/2014
43,SerbiaSRB,1531,12/19/2014
44,MyanmarMYA,1530,12/19/2014
45,Trinidad and TobagoTRI,1489,12/19/2014
46,EcuadorECU,1485,12/19/2014
47,SlovakiaSVK,1482,12/19/2014
48,Papua New GuineaPNG,1477,12/19/2014
49,BelarusBLR,1475,12/19/2014
50,ParaguayPAR,1459,12/19/2014
1,USAUSA,2185,9/19/2014
