RK,Team,Total PointsPTS,date
1,BrazilBRA,817,5/19/1999
2,FranceFRA,785,5/19/1999
3,GermanyGER,742,5/19/1999
4,ItalyITA,740,5/19/1999
5,Czech RepublicCZE,736,5/19/1999
6,CroatiaCRO,730,5/19/1999
7,ArgentinaARG,729,5/19/1999
8,SpainESP,724,5/19/1999
9,NetherlandsNED,703,5/19/1999
10,RomaniaROU,701,5/19/1999
11,EnglandENG,695,5/19/1999
12,NorwayNOR,690,5/19/1999
13,MexicoMEX,679,5/19/1999
14,SwedenSWE,673,5/19/1999
15,PortugalPOR,670,5/19/1999
16,YugoslaviaYUG,647,5/19/1999
17,AustriaAUT,642,5/19/1999
18,DenmarkDEN,634,5/19/1999
19,MoroccoMAR,631,5/19/1999
20,ParaguayPAR,614,5/19/1999
21,ScotlandSCO,603,5/19/1999
22,UkraineUKR,603,5/19/1999
23,ChileCHI,600,5/19/1999
24,USAUSA,596,5/19/1999
25,SlovakiaSVK,596,5/19/1999
26,South AfricaRSA,596,5/19/1999
27,BelgiumBEL,593,5/19/1999
28,TunisiaTUN,591,5/19/1999
29,PolandPOL,590,5/19/1999
30,BulgariaBUL,589,5/19/1999
31,ColombiaCOL,586,5/19/1999
32,IsraelISR,583,5/19/1999
33,RussiaRUS,568,5/19/1999
34,Korea RepublicKOR,566,5/19/1999
35,EgyptEGY,565,5/19/1999
36,ZambiaZAM,564,5/19/1999
37,GreeceGRE,562,5/19/1999
38,Republic of IrelandIRL,557,5/19/1999
39,Saudi ArabiaKSA,557,5/19/1999
40,JamaicaJAM,555,5/19/1999
41,JapanJPN,550,5/19/1999
42,TurkeyTUR,540,5/19/1999
43,CameroonCMR,540,5/19/1999
44,HungaryHUN,540,5/19/1999
45,Côte d'IvoireCIV,538,5/19/1999
46,GhanaGHA,538,5/19/1999
47,IR IranIRN,530,5/19/1999
48,IcelandISL,525,5/19/1999
49,KuwaitKUW,517,5/19/1999
50,BoliviaBOL,515,5/19/1999
1,BrazilBRA,808,6/16/1999
2,FranceFRA,781,6/16/1999
3,Czech RepublicCZE,753,6/16/1999
4,ItalyITA,750,6/16/1999
5,GermanyGER,733,6/16/1999
6,SpainESP,732,6/16/1999
7,CroatiaCRO,723,6/16/1999
8,ArgentinaARG,716,6/16/1999
9,RomaniaROU,704,6/16/1999
10,NetherlandsNED,700,6/16/1999
11,NorwayNOR,699,6/16/1999
12,PortugalPOR,685,6/16/1999
13,EnglandENG,684,6/16/1999
14,MexicoMEX,672,6/16/1999
15,SwedenSWE,668,6/16/1999
16,YugoslaviaYUG,645,6/16/1999
17,DenmarkDEN,642,6/16/1999
18,MoroccoMAR,637,6/16/1999
19,AustriaAUT,632,6/16/1999
20,SlovakiaSVK,614,6/16/1999
21,ParaguayPAR,613,6/16/1999
22,IsraelISR,610,6/16/1999
23,PolandPOL,607,6/16/1999
24,RussiaRUS,607,6/16/1999
25,UkraineUKR,606,6/16/1999
26,TunisiaTUN,605,6/16/1999
27,ScotlandSCO,601,6/16/1999
28,South AfricaRSA,598,6/16/1999
29,ChileCHI,597,6/16/1999
30,BelgiumBEL,594,6/16/1999
31,USAUSA,592,6/16/1999
32,ColombiaCOL,583,6/16/1999
33,BulgariaBUL,575,6/16/1999
34,ZambiaZAM,573,6/16/1999
35,Republic of IrelandIRL,571,6/16/1999
36,GreeceGRE,570,6/16/1999
37,TurkeyTUR,566,6/16/1999
38,Korea RepublicKOR,564,6/16/1999
39,EgyptEGY,558,6/16/1999
40,Saudi ArabiaKSA,557,6/16/1999
41,JamaicaJAM,553,6/16/1999
42,JapanJPN,546,6/16/1999
43,Côte d'IvoireCIV,541,6/16/1999
44,IR IranIRN,537,6/16/1999
45,GhanaGHA,535,6/16/1999
46,HungaryHUN,532,6/16/1999
47,IcelandISL,532,6/16/1999
48,CameroonCMR,527,6/16/1999
49,EcuadorECU,522,6/16/1999
50,LithuaniaLTU,522,6/16/1999
1,BrazilBRA,835,7/21/1999
2,FranceFRA,762,7/21/1999
3,Czech RepublicCZE,753,7/21/1999
4,ItalyITA,726,7/21/1999
5,GermanyGER,720,7/21/1999
6,ArgentinaARG,719,7/21/1999
7,CroatiaCRO,719,7/21/1999
8,SpainESP,714,7/21/1999
9,RomaniaROU,694,7/21/1999
10,NorwayNOR,690,7/21/1999
11,MexicoMEX,688,7/21/1999
12,PortugalPOR,682,7/21/1999
13,NetherlandsNED,680,7/21/1999
14,EnglandENG,672,7/21/1999
15,SwedenSWE,666,7/21/1999
16,ParaguayPAR,647,7/21/1999
17,DenmarkDEN,632,7/21/1999
18,ColombiaCOL,629,7/21/1999
19,MoroccoMAR,626,7/21/1999
20,AustriaAUT,625,7/21/1999
21,YugoslaviaYUG,624,7/21/1999
22,ChileCHI,618,7/21/1999
23,SlovakiaSVK,613,7/21/1999
24,UkraineUKR,611,7/21/1999
25,IsraelISR,610,7/21/1999
26,PolandPOL,607,7/21/1999
27,RussiaRUS,602,7/21/1999
28,TunisiaTUN,596,7/21/1999
29,South AfricaRSA,595,7/21/1999
30,USAUSA,594,7/21/1999
31,ScotlandSCO,592,7/21/1999
32,ZambiaZAM,589,7/21/1999
33,BelgiumBEL,587,7/21/1999
34,BulgariaBUL,573,7/21/1999
35,GreeceGRE,568,7/21/1999
36,Republic of IrelandIRL,567,7/21/1999
37,Korea RepublicKOR,563,7/21/1999
38,EgyptEGY,562,7/21/1999
39,TurkeyTUR,562,7/21/1999
40,Saudi ArabiaKSA,556,7/21/1999
41,PeruPER,554,7/21/1999
42,UruguayURU,549,7/21/1999
43,JamaicaJAM,549,7/21/1999
44,JapanJPN,542,7/21/1999
45,Côte d'IvoireCIV,540,7/21/1999
46,GhanaGHA,532,7/21/1999
47,IcelandISL,532,7/21/1999
48,HungaryHUN,531,7/21/1999
49,Trinidad and TobagoTRI,529,7/21/1999
50,IR IranIRN,527,7/21/1999
1,BrazilBRA,842,8/18/1999
2,FranceFRA,755,8/18/1999
3,Czech RepublicCZE,753,8/18/1999
4,ItalyITA,720,8/18/1999
5,GermanyGER,718,8/18/1999
6,ArgentinaARG,715,8/18/1999
7,SpainESP,713,8/18/1999
8,CroatiaCRO,712,8/18/1999
9,MexicoMEX,709,8/18/1999
10,RomaniaROU,694,8/18/1999
11,NorwayNOR,689,8/18/1999
12,PortugalPOR,679,8/18/1999
13,NetherlandsNED,669,8/18/1999
14,EnglandENG,665,8/18/1999
15,SwedenSWE,664,8/18/1999
16,ParaguayPAR,647,8/18/1999
17,DenmarkDEN,627,8/18/1999
18,ColombiaCOL,627,8/18/1999
19,MoroccoMAR,625,8/18/1999
20,AustriaAUT,623,8/18/1999
21,USAUSA,623,8/18/1999
22,YugoslaviaYUG,620,8/18/1999
23,ChileCHI,618,8/18/1999
24,SlovakiaSVK,612,8/18/1999
25,UkraineUKR,610,8/18/1999
26,IsraelISR,609,8/18/1999
27,PolandPOL,606,8/18/1999
28,RussiaRUS,598,8/18/1999
29,TunisiaTUN,594,8/18/1999
30,South AfricaRSA,593,8/18/1999
31,ZambiaZAM,590,8/18/1999
32,ScotlandSCO,588,8/18/1999
33,BelgiumBEL,581,8/18/1999
34,BulgariaBUL,568,8/18/1999
35,EgyptEGY,567,8/18/1999
36,Saudi ArabiaKSA,567,8/18/1999
37,GreeceGRE,566,8/18/1999
38,Republic of IrelandIRL,564,8/18/1999
39,Korea RepublicKOR,561,8/18/1999
40,TurkeyTUR,558,8/18/1999
41,PeruPER,550,8/18/1999
42,JamaicaJAM,549,8/18/1999
43,UruguayURU,547,8/18/1999
44,GhanaGHA,547,8/18/1999
45,Côte d'IvoireCIV,539,8/18/1999
46,JapanJPN,539,8/18/1999
47,LithuaniaLTU,533,8/18/1999
48,IcelandISL,532,8/18/1999
49,Trinidad and TobagoTRI,530,8/18/1999
50,HungaryHUN,530,8/18/1999
1,BrazilBRA,838,9/15/1999
2,Czech RepublicCZE,772,9/15/1999
3,FranceFRA,766,9/15/1999
4,SpainESP,757,9/15/1999
5,GermanyGER,735,9/15/1999
6,CroatiaCRO,727,9/15/1999
7,ArgentinaARG,717,9/15/1999
8,ItalyITA,714,9/15/1999
9,NorwayNOR,712,9/15/1999
10,MexicoMEX,709,9/15/1999
11,RomaniaROU,709,9/15/1999
12,EnglandENG,683,9/15/1999
13,PortugalPOR,671,9/15/1999
14,NetherlandsNED,668,9/15/1999
15,SwedenSWE,667,9/15/1999
16,DenmarkDEN,661,9/15/1999
17,YugoslaviaYUG,656,9/15/1999
18,ParaguayPAR,647,9/15/1999
19,RussiaRUS,642,9/15/1999
20,USAUSA,621,9/15/1999
21,MoroccoMAR,620,9/15/1999
22,SlovakiaSVK,620,9/15/1999
23,ColombiaCOL,619,9/15/1999
24,ChileCHI,618,9/15/1999
25,IsraelISR,618,9/15/1999
26,AustriaAUT,615,9/15/1999
27,UkraineUKR,615,9/15/1999
28,ScotlandSCO,606,9/15/1999
29,PolandPOL,595,9/15/1999
30,TunisiaTUN,593,9/15/1999
31,South AfricaRSA,591,9/15/1999
32,BelgiumBEL,589,9/15/1999
33,ZambiaZAM,582,9/15/1999
34,Republic of IrelandIRL,576,9/15/1999
35,TurkeyTUR,576,9/15/1999
36,BulgariaBUL,570,9/15/1999
37,GreeceGRE,568,9/15/1999
38,EgyptEGY,565,9/15/1999
39,Saudi ArabiaKSA,565,9/15/1999
40,Korea RepublicKOR,559,9/15/1999
41,UruguayURU,557,9/15/1999
42,Trinidad and TobagoTRI,554,9/15/1999
43,HungaryHUN,547,9/15/1999
44,JamaicaJAM,547,9/15/1999
45,PeruPER,546,9/15/1999
46,LithuaniaLTU,543,9/15/1999
47,GhanaGHA,543,9/15/1999
48,Côte d'IvoireCIV,541,9/15/1999
49,IcelandISL,536,9/15/1999
50,IR IranIRN,534,9/15/1999
1,BrazilBRA,839,10/13/1999
2,Czech RepublicCZE,771,10/13/1999
3,FranceFRA,768,10/13/1999
4,SpainESP,767,10/13/1999
5,GermanyGER,734,10/13/1999
6,CroatiaCRO,726,10/13/1999
7,NorwayNOR,716,10/13/1999
8,ArgentinaARG,713,10/13/1999
9,RomaniaROU,713,10/13/1999
10,ItalyITA,709,10/13/1999
11,MexicoMEX,709,10/13/1999
12,EnglandENG,688,10/13/1999
13,PortugalPOR,686,10/13/1999
14,SwedenSWE,677,10/13/1999
15,YugoslaviaYUG,669,10/13/1999
16,NetherlandsNED,664,10/13/1999
17,DenmarkDEN,660,10/13/1999
18,ParaguayPAR,647,10/13/1999
19,RussiaRUS,639,10/13/1999
20,ScotlandSCO,630,10/13/1999
21,SlovakiaSVK,625,10/13/1999
22,USAUSA,621,10/13/1999
23,ChileCHI,618,10/13/1999
24,UkraineUKR,618,10/13/1999
25,AustriaAUT,616,10/13/1999
26,ColombiaCOL,616,10/13/1999
27,IsraelISR,614,10/13/1999
28,MoroccoMAR,613,10/13/1999
29,South AfricaRSA,594,10/13/1999
30,GreeceGRE,591,10/13/1999
31,PolandPOL,591,10/13/1999
32,BelgiumBEL,584,10/13/1999
33,TunisiaTUN,584,10/13/1999
34,ZambiaZAM,581,10/13/1999
35,Republic of IrelandIRL,578,10/13/1999
36,BulgariaBUL,573,10/13/1999
37,TurkeyTUR,568,10/13/1999
38,EgyptEGY,563,10/13/1999
39,Saudi ArabiaKSA,563,10/13/1999
40,Korea RepublicKOR,557,10/13/1999
41,Trinidad and TobagoTRI,554,10/13/1999
42,UruguayURU,553,10/13/1999
43,PeruPER,545,10/13/1999
44,JamaicaJAM,543,10/13/1999
45,LithuaniaLTU,540,10/13/1999
46,HungaryHUN,538,10/13/1999
47,IcelandISL,537,10/13/1999
48,IR IranIRN,537,10/13/1999
49,Côte d'IvoireCIV,530,10/13/1999
50,SwitzerlandSUI,530,10/13/1999
1,BrazilBRA,838,11/17/1999
2,FranceFRA,770,11/17/1999
3,Czech RepublicCZE,768,11/17/1999
4,SpainESP,758,11/17/1999
5,GermanyGER,739,11/17/1999
6,CroatiaCRO,719,11/17/1999
7,ArgentinaARG,715,11/17/1999
8,NorwayNOR,715,11/17/1999
9,RomaniaROU,714,11/17/1999
10,MexicoMEX,704,11/17/1999
11,EnglandENG,703,11/17/1999
12,ItalyITA,697,11/17/1999
13,YugoslaviaYUG,691,11/17/1999
14,DenmarkDEN,682,11/17/1999
15,PortugalPOR,674,11/17/1999
16,SwedenSWE,670,11/17/1999
17,NetherlandsNED,656,11/17/1999
18,ParaguayPAR,645,11/17/1999
19,RussiaRUS,641,11/17/1999
20,SlovakiaSVK,634,11/17/1999
21,USAUSA,623,11/17/1999
22,ChileCHI,618,11/17/1999
23,ScotlandSCO,617,11/17/1999
24,MoroccoMAR,611,11/17/1999
25,ColombiaCOL,611,11/17/1999
26,IsraelISR,609,11/17/1999
27,AustriaAUT,609,11/17/1999
28,UkraineUKR,608,11/17/1999
29,TunisiaTUN,597,11/17/1999
30,BelgiumBEL,593,11/17/1999
31,South AfricaRSA,592,11/17/1999
32,PolandPOL,589,11/17/1999
33,TurkeyTUR,584,11/17/1999
34,GreeceGRE,582,11/17/1999
35,ZambiaZAM,576,11/17/1999
36,Republic of IrelandIRL,572,11/17/1999
37,BulgariaBUL,571,11/17/1999
38,EgyptEGY,560,11/17/1999
39,Saudi ArabiaKSA,559,11/17/1999
40,Trinidad and TobagoTRI,554,11/17/1999
41,Korea RepublicKOR,551,11/17/1999
42,UruguayURU,546,11/17/1999
43,SloveniaSVN,544,11/17/1999
44,JamaicaJAM,544,11/17/1999
45,PeruPER,540,11/17/1999
46,IR IranIRN,539,11/17/1999
47,HungaryHUN,536,11/17/1999
48,IcelandISL,533,11/17/1999
49,SwitzerlandSUI,529,11/17/1999
50,LithuaniaLTU,527,11/17/1999
1,BrazilBRA,839,12/22/1999
2,Czech RepublicCZE,774,12/22/1999
3,FranceFRA,765,12/22/1999
4,SpainESP,753,12/22/1999
5,GermanyGER,739,12/22/1999
6,ArgentinaARG,721,12/22/1999
7,NorwayNOR,718,12/22/1999
8,RomaniaROU,715,12/22/1999
9,CroatiaCRO,713,12/22/1999
10,MexicoMEX,706,12/22/1999
11,DenmarkDEN,697,12/22/1999
12,EnglandENG,695,12/22/1999
13,YugoslaviaYUG,694,12/22/1999
14,ItalyITA,685,12/22/1999
15,PortugalPOR,672,12/22/1999
16,SwedenSWE,663,12/22/1999
17,ParaguayPAR,648,12/22/1999
18,RussiaRUS,643,12/22/1999
19,NetherlandsNED,641,12/22/1999
20,ScotlandSCO,639,12/22/1999
21,SlovakiaSVK,626,12/22/1999
22,USAUSA,620,12/22/1999
23,ChileCHI,618,12/22/1999
24,MoroccoMAR,615,12/22/1999
25,ColombiaCOL,614,12/22/1999
26,IsraelISR,609,12/22/1999
27,UkraineUKR,609,12/22/1999
28,AustriaAUT,603,12/22/1999
29,TurkeyTUR,598,12/22/1999
30,South AfricaRSA,597,12/22/1999
31,TunisiaTUN,596,12/22/1999
32,PolandPOL,589,12/22/1999
33,BelgiumBEL,588,12/22/1999
34,GreeceGRE,582,12/22/1999
35,Republic of IrelandIRL,576,12/22/1999
36,ZambiaZAM,571,12/22/1999
37,BulgariaBUL,563,12/22/1999
38,EgyptEGY,556,12/22/1999
39,Saudi ArabiaKSA,556,12/22/1999
40,SloveniaSVN,544,12/22/1999
41,JamaicaJAM,539,12/22/1999
42,PeruPER,538,12/22/1999
43,IcelandISL,536,12/22/1999
44,Trinidad and TobagoTRI,536,12/22/1999
45,HungaryHUN,533,12/22/1999
46,UruguayURU,533,12/22/1999
47,SwitzerlandSUI,531,12/22/1999
48,GhanaGHA,525,12/22/1999
49,IR IranIRN,525,12/22/1999
50,LithuaniaLTU,524,12/22/1999
1,BrazilBRA,839,1/19/2000
2,Czech RepublicCZE,774,1/19/2000
3,FranceFRA,765,1/19/2000
4,SpainESP,753,1/19/2000
5,GermanyGER,739,1/19/2000
6,ArgentinaARG,721,1/19/2000
7,NorwayNOR,718,1/19/2000
8,RomaniaROU,715,1/19/2000
9,CroatiaCRO,713,1/19/2000
10,MexicoMEX,706,1/19/2000
11,DenmarkDEN,696,1/19/2000
12,EnglandENG,695,1/19/2000
13,YugoslaviaYUG,694,1/19/2000
14,ItalyITA,685,1/19/2000
15,PortugalPOR,672,1/19/2000
16,SwedenSWE,663,1/19/2000
17,ParaguayPAR,647,1/19/2000
18,RussiaRUS,643,1/19/2000
19,NetherlandsNED,640,1/19/2000
20,ScotlandSCO,638,1/19/2000
21,SlovakiaSVK,626,1/19/2000
22,USAUSA,619,1/19/2000
23,ChileCHI,618,1/19/2000
24,ColombiaCOL,614,1/19/2000
25,MoroccoMAR,613,1/19/2000
26,IsraelISR,609,1/19/2000
27,UkraineUKR,609,1/19/2000
28,TunisiaTUN,604,1/19/2000
29,AustriaAUT,603,1/19/2000
30,TurkeyTUR,597,1/19/2000
31,South AfricaRSA,597,1/19/2000
32,PolandPOL,589,1/19/2000
33,BelgiumBEL,588,1/19/2000
34,GreeceGRE,580,1/19/2000
35,Republic of IrelandIRL,575,1/19/2000
36,ZambiaZAM,571,1/19/2000
37,BulgariaBUL,563,1/19/2000
38,EgyptEGY,558,1/19/2000
39,Saudi ArabiaKSA,556,1/19/2000
40,SloveniaSVN,544,1/19/2000
41,JamaicaJAM,539,1/19/2000
42,PeruPER,538,1/19/2000
43,IR IranIRN,535,1/19/2000
44,IcelandISL,535,1/19/2000
45,Trinidad and TobagoTRI,535,1/19/2000
46,HungaryHUN,533,1/19/2000
47,UruguayURU,533,1/19/2000
48,SwitzerlandSUI,531,1/19/2000
49,Côte d'IvoireCIV,529,1/19/2000
50,GhanaGHA,526,1/19/2000
1,BrazilBRA,836,2/16/2000
2,Czech RepublicCZE,772,2/16/2000
3,FranceFRA,762,2/16/2000
4,SpainESP,751,2/16/2000
5,GermanyGER,742,2/16/2000
6,ArgentinaARG,718,2/16/2000
7,NorwayNOR,717,2/16/2000
8,RomaniaROU,713,2/16/2000
9,CroatiaCRO,710,2/16/2000
10,MexicoMEX,704,2/16/2000
11,EnglandENG,698,2/16/2000
12,DenmarkDEN,694,2/16/2000
13,YugoslaviaYUG,692,2/16/2000
14,ItalyITA,682,2/16/2000
15,PortugalPOR,673,2/16/2000
16,SwedenSWE,661,2/16/2000
17,ParaguayPAR,648,2/16/2000
18,RussiaRUS,641,2/16/2000
19,NetherlandsNED,638,2/16/2000
20,ScotlandSCO,636,2/16/2000
21,South AfricaRSA,631,2/16/2000
22,USAUSA,628,2/16/2000
23,MoroccoMAR,625,2/16/2000
24,ColombiaCOL,624,2/16/2000
25,SlovakiaSVK,624,2/16/2000
26,ChileCHI,616,2/16/2000
27,TunisiaTUN,611,2/16/2000
28,UkraineUKR,607,2/16/2000
29,IsraelISR,607,2/16/2000
30,AustriaAUT,601,2/16/2000
31,TurkeyTUR,595,2/16/2000
32,PolandPOL,586,2/16/2000
33,BelgiumBEL,586,2/16/2000
34,CameroonCMR,583,2/16/2000
35,EgyptEGY,582,2/16/2000
36,GreeceGRE,577,2/16/2000
37,Republic of IrelandIRL,573,2/16/2000
38,ZambiaZAM,569,2/16/2000
39,BulgariaBUL,569,2/16/2000
40,Saudi ArabiaKSA,554,2/16/2000
41,SloveniaSVN,543,2/16/2000
42,UruguayURU,540,2/16/2000
43,IcelandISL,540,2/16/2000
44,PeruPER,539,2/16/2000
45,JamaicaJAM,537,2/16/2000
46,Côte d'IvoireCIV,537,2/16/2000
47,IR IranIRN,536,2/16/2000
48,Korea RepublicKOR,535,2/16/2000
49,Trinidad and TobagoTRI,534,2/16/2000
50,HungaryHUN,532,2/16/2000
1,BrazilBRA,834,3/15/2000
2,Czech RepublicCZE,767,3/15/2000
3,FranceFRA,758,3/15/2000
4,SpainESP,747,3/15/2000
5,GermanyGER,735,3/15/2000
6,NorwayNOR,717,3/15/2000
7,ArgentinaARG,714,3/15/2000
8,RomaniaROU,712,3/15/2000
9,CroatiaCRO,708,3/15/2000
10,MexicoMEX,706,3/15/2000
11,EnglandENG,693,3/15/2000
12,DenmarkDEN,689,3/15/2000
13,YugoslaviaYUG,689,3/15/2000
14,ItalyITA,681,3/15/2000
15,PortugalPOR,669,3/15/2000
16,SwedenSWE,658,3/15/2000
17,ColombiaCOL,644,3/15/2000
18,ParaguayPAR,642,3/15/2000
19,NetherlandsNED,638,3/15/2000
20,USAUSA,637,3/15/2000
21,RussiaRUS,636,3/15/2000
22,ScotlandSCO,634,3/15/2000
23,South AfricaRSA,626,3/15/2000
24,ChileCHI,626,3/15/2000
25,SlovakiaSVK,621,3/15/2000
26,MoroccoMAR,613,3/15/2000
27,TunisiaTUN,606,3/15/2000
28,UkraineUKR,606,3/15/2000
29,IsraelISR,604,3/15/2000
30,AustriaAUT,597,3/15/2000
31,TurkeyTUR,591,3/15/2000
32,PolandPOL,583,3/15/2000
33,BelgiumBEL,582,3/15/2000
34,EgyptEGY,579,3/15/2000
35,CameroonCMR,577,3/15/2000
36,Republic of IrelandIRL,577,3/15/2000
37,GreeceGRE,576,3/15/2000
38,ZambiaZAM,566,3/15/2000
39,BulgariaBUL,558,3/15/2000
40,Trinidad and TobagoTRI,552,3/15/2000
41,Saudi ArabiaKSA,550,3/15/2000
42,SloveniaSVN,547,3/15/2000
43,PeruPER,546,3/15/2000
44,UruguayURU,545,3/15/2000
45,Korea RepublicKOR,542,3/15/2000
46,IcelandISL,539,3/15/2000
47,Côte d'IvoireCIV,538,3/15/2000
48,JamaicaJAM,534,3/15/2000
49,JapanJPN,533,3/15/2000
50,HungaryHUN,530,3/15/2000
1,BrazilBRA,833,4/12/2000
2,Czech RepublicCZE,763,4/12/2000
3,FranceFRA,754,4/12/2000
4,SpainESP,743,4/12/2000
5,GermanyGER,725,4/12/2000
6,ArgentinaARG,720,4/12/2000
7,NorwayNOR,710,4/12/2000
8,MexicoMEX,704,4/12/2000
9,RomaniaROU,704,4/12/2000
10,CroatiaCRO,703,4/12/2000
11,YugoslaviaYUG,695,4/12/2000
12,DenmarkDEN,683,4/12/2000
13,EnglandENG,682,4/12/2000
14,ItalyITA,672,4/12/2000
15,PortugalPOR,662,4/12/2000
16,SwedenSWE,654,4/12/2000
17,ColombiaCOL,646,4/12/2000
18,USAUSA,638,4/12/2000
19,ParaguayPAR,638,4/12/2000
20,NetherlandsNED,633,4/12/2000
21,ScotlandSCO,631,4/12/2000
22,RussiaRUS,630,4/12/2000
23,ChileCHI,626,4/12/2000
24,South AfricaRSA,624,4/12/2000
25,SlovakiaSVK,616,4/12/2000
26,MoroccoMAR,610,4/12/2000
27,TunisiaTUN,605,4/12/2000
28,IsraelISR,601,4/12/2000
29,UkraineUKR,598,4/12/2000
30,AustriaAUT,592,4/12/2000
31,TurkeyTUR,586,4/12/2000
32,GreeceGRE,585,4/12/2000
33,BelgiumBEL,584,4/12/2000
34,PolandPOL,579,4/12/2000
35,CameroonCMR,576,4/12/2000
36,Republic of IrelandIRL,575,4/12/2000
37,EgyptEGY,574,4/12/2000
38,ZambiaZAM,565,4/12/2000
39,PeruPER,561,4/12/2000
40,BulgariaBUL,555,4/12/2000
41,Trinidad and TobagoTRI,555,4/12/2000
42,UruguayURU,553,4/12/2000
43,Korea RepublicKOR,548,4/12/2000
44,SloveniaSVN,546,4/12/2000
45,Saudi ArabiaKSA,546,4/12/2000
46,IR IranIRN,544,4/12/2000
47,Côte d'IvoireCIV,536,4/12/2000
48,IcelandISL,532,4/12/2000
49,FinlandFIN,531,4/12/2000
50,JapanJPN,530,4/12/2000
1,BrazilBRA,830,5/10/2000
2,Czech RepublicCZE,758,5/10/2000
3,FranceFRA,751,5/10/2000
4,SpainESP,736,5/10/2000
5,ArgentinaARG,728,5/10/2000
6,GermanyGER,717,5/10/2000
7,CroatiaCRO,708,5/10/2000
8,MexicoMEX,704,5/10/2000
9,NorwayNOR,704,5/10/2000
10,RomaniaROU,701,5/10/2000
11,YugoslaviaYUG,693,5/10/2000
12,EnglandENG,678,5/10/2000
13,DenmarkDEN,673,5/10/2000
14,ItalyITA,668,5/10/2000
15,PortugalPOR,655,5/10/2000
16,SwedenSWE,651,5/10/2000
17,ParaguayPAR,647,5/10/2000
18,ColombiaCOL,645,5/10/2000
19,USAUSA,635,5/10/2000
20,South AfricaRSA,633,5/10/2000
21,NetherlandsNED,629,5/10/2000
22,ChileCHI,626,5/10/2000
23,RussiaRUS,626,5/10/2000
24,ScotlandSCO,622,5/10/2000
25,MoroccoMAR,613,5/10/2000
26,SlovakiaSVK,609,5/10/2000
27,TunisiaTUN,606,5/10/2000
28,UkraineUKR,600,5/10/2000
29,IsraelISR,595,5/10/2000
30,BelgiumBEL,594,5/10/2000
31,GreeceGRE,590,5/10/2000
32,EgyptEGY,586,5/10/2000
33,AustriaAUT,585,5/10/2000
34,TurkeyTUR,578,5/10/2000
35,PolandPOL,574,5/10/2000
36,PeruPER,565,5/10/2000
37,ZambiaZAM,565,5/10/2000
38,CameroonCMR,564,5/10/2000
39,Republic of IrelandIRL,563,5/10/2000
40,Korea RepublicKOR,560,5/10/2000
41,Trinidad and TobagoTRI,559,5/10/2000
42,IR IranIRN,557,5/10/2000
43,BulgariaBUL,550,5/10/2000
44,UruguayURU,550,5/10/2000
45,SloveniaSVN,545,5/10/2000
46,Saudi ArabiaKSA,542,5/10/2000
47,Côte d'IvoireCIV,532,5/10/2000
48,GhanaGHA,532,5/10/2000
49,FinlandFIN,531,5/10/2000
50,LithuaniaLTU,529,5/10/2000
1,BrazilBRA,828,6/7/2000
2,FranceFRA,758,6/7/2000
3,Czech RepublicCZE,750,6/7/2000
4,SpainESP,728,6/7/2000
5,ArgentinaARG,726,6/7/2000
6,GermanyGER,706,6/7/2000
7,NorwayNOR,703,6/7/2000
8,MexicoMEX,702,6/7/2000
9,CroatiaCRO,700,6/7/2000
10,YugoslaviaYUG,695,6/7/2000
11,RomaniaROU,692,6/7/2000
12,EnglandENG,682,6/7/2000
13,DenmarkDEN,662,6/7/2000
14,ItalyITA,660,6/7/2000
15,PortugalPOR,647,6/7/2000
16,SwedenSWE,646,6/7/2000
17,ParaguayPAR,645,6/7/2000
18,ColombiaCOL,644,6/7/2000
19,USAUSA,634,6/7/2000
20,South AfricaRSA,631,6/7/2000
21,NetherlandsNED,629,6/7/2000
22,ScotlandSCO,629,6/7/2000
23,ChileCHI,622,6/7/2000
24,RussiaRUS,618,6/7/2000
25,SlovakiaSVK,606,6/7/2000
26,MoroccoMAR,605,6/7/2000
27,TunisiaTUN,603,6/7/2000
28,IsraelISR,589,6/7/2000
29,UkraineUKR,588,6/7/2000
30,BelgiumBEL,585,6/7/2000
31,EgyptEGY,584,6/7/2000
32,GreeceGRE,583,6/7/2000
33,AustriaAUT,577,6/7/2000
34,Trinidad and TobagoTRI,570,6/7/2000
35,TurkeyTUR,568,6/7/2000
36,PeruPER,567,6/7/2000
37,PolandPOL,567,6/7/2000
38,CameroonCMR,565,6/7/2000
39,ZambiaZAM,562,6/7/2000
40,Republic of IrelandIRL,561,6/7/2000
41,IR IranIRN,560,6/7/2000
42,Korea RepublicKOR,559,6/7/2000
43,UruguayURU,549,6/7/2000
44,BulgariaBUL,544,6/7/2000
45,Saudi ArabiaKSA,541,6/7/2000
46,SloveniaSVN,538,6/7/2000
47,AngolaANG,533,6/7/2000
48,FinlandFIN,533,6/7/2000
49,GhanaGHA,530,6/7/2000
50,LithuaniaLTU,529,6/7/2000
1,BrazilBRA,825,7/5/2000
2,FranceFRA,808,7/5/2000
3,Czech RepublicCZE,753,7/5/2000
4,SpainESP,744,7/5/2000
5,ArgentinaARG,744,7/5/2000
6,ItalyITA,732,7/5/2000
7,PortugalPOR,717,7/5/2000
8,NetherlandsNED,713,7/5/2000
9,GermanyGER,711,7/5/2000
10,NorwayNOR,708,7/5/2000
11,YugoslaviaYUG,705,7/5/2000
12,RomaniaROU,701,7/5/2000
